Ez,eps_nlfc_q1,eps_nlfc_q2,eps_nlfc_q3,eps_nlfc_q0,eps_lfc_q0
0.000000,4.332869,2.740424,2.111967,5.282656,2.003461
0.001000,4.341758,2.742452,2.113259,5.294322,2.004659
0.002000,4.359099,2.742385,2.111747,5.318428,2.005763
0.003000,4.396395,2.749885,2.116350,5.367588,2.008284
0.004000,4.438945,2.752095,2.114920,5.426011,2.011229
0.005000,4.494310,2.761635,2.119646,5.499861,2.014777
0.006000,4.566419,2.771892,2.123857,5.596619,2.019386
0.007000,4.631918,2.784830,2.130630,5.683748,2.023296
0.008000,4.722968,2.800361,2.138161,5.805304,2.028551
0.009000,4.813795,2.818053,2.147260,5.926238,2.033575
0.010000,4.907352,2.837123,2.156906,6.050906,2.038177
0.011000,5.001874,2.858486,2.168317,6.176448,2.043255
0.012000,5.105010,2.882473,2.180748,6.313673,2.048107
0.013000,5.198293,2.911146,2.197645,6.436343,2.052948
0.014000,5.294442,2.941611,2.215347,6.562894,2.057956
0.015000,5.415525,2.976835,2.235129,6.722892,2.063421
0.016000,5.520828,3.012892,2.255374,6.861818,2.067511
0.017000,5.643869,3.054806,2.278983,7.024105,2.071709
0.018000,5.755676,3.105511,2.309751,7.169571,2.076319
0.019000,5.875227,3.154685,2.336741,7.327370,2.080426
0.020000,6.530442,3.255519,2.387866,8.200518,2.102905
