Ez,bandgap_eV,P_e_per_cell,Delta_eV,Delta_ext_eV,Delta_minus_ext_eV
0.0,3.585425460572722e-05,0.0,2.5352786684797024e-05,0.0,2.5352786684797024e-05
0.001,0.14165782251809578,0.00017477271901390127,0.10840243271230121,0.00335,0.1050524327123012
0.002,0.2140456630806835,-0.0004243561312328942,0.18542255393859017,0.0067,0.17872255393859016
0.003,0.25874288333536755,-0.0050868657562088025,0.25560429747216845,0.01005,0.24555429747216845
0.004,0.25728519558104046,-0.010380233324077616,0.25281609572953534,0.0134,0.23941609572953534
0.005,0.2814378123747401,-0.018344045717932595,0.30596207720693724,0.01675,0.28921207720693726
0.006,0.27042231729060795,-0.026131030683058082,0.27971285177659266,0.0201,0.25961285177659266
0.007,0.26727450723825186,-0.03473854981101539,0.27288095749005675,0.023450000000000002,0.24943095749005675
0.008,0.2802571661813049,-0.04620358835838538,0.3029539035907396,0.0268,0.2761539035907396
0.009,0.27838984555921353,-0.056103311426096356,0.29829842439871584,0.03015,0.26814842439871583
0.01,0.26719615184699874,-0.07078980833840598,0.272714256236319,0.0335,0.239214256236319
0.011,0.2737932391373603,-0.08255770456605102,0.2873372652029294,0.03685,0.2504872652029294
0.012,0.2816303249828347,-0.09555805138124056,0.3064574737704444,0.0402,0.2662574737704444
0.013,0.26436538733355297,-0.11095292484148324,0.26679601919123075,0.04355,0.22324601919123074
0.014,0.26237224380362933,-0.12715489673673094,0.26274607875641703,0.046900000000000004,0.21584607875641704
0.015,0.2738676307846888,-0.14491975287566505,0.2875093231943393,0.050249999999999996,0.23725932319433932
0.016,0.2708878499911931,-0.1649932723539037,0.28074625811918824,0.0536,0.22714625811918823
0.017,0.25650952060749566,-0.18488061065438824,0.2513503543843334,0.05695000000000001,0.1944003543843334
0.018,0.25174481510806723,-0.20815776627514407,0.24260667111070103,0.0603,0.18230667111070104
0.019,0.25461036282553207,-0.23261233906680787,0.24781267625854558,0.06365,0.1841626762585456
0.02,0.26431957779404003,-0.25440360590127575,0.2667018750821137,0.067,0.19970187508211368
