Ez,gap,gpw_path
0.000000,0.329549,../gpw/ab_gate_plane_A0.000.gpw
0.001000,0.000000,../gpw/ab_gate_plane_A0.001.gpw
0.002000,0.000000,../gpw/ab_gate_plane_A0.002.gpw
0.003000,0.000000,../gpw/ab_gate_plane_A0.003.gpw
0.004000,0.000000,../gpw/ab_gate_plane_A0.004.gpw
0.005000,0.000000,../gpw/ab_gate_plane_A0.005.gpw
0.006000,0.000000,../gpw/ab_gate_plane_A0.006.gpw
0.007000,0.000000,../gpw/ab_gate_plane_A0.007.gpw
0.008000,0.000000,../gpw/ab_gate_plane_A0.008.gpw
0.009000,0.000000,../gpw/ab_gate_plane_A0.009.gpw
0.010000,0.000000,../gpw/ab_gate_plane_A0.010.gpw
0.011000,0.000000,../gpw/ab_gate_plane_A0.011.gpw
0.012000,0.000000,../gpw/ab_gate_plane_A0.012.gpw
0.013000,0.000000,../gpw/ab_gate_plane_A0.013.gpw
0.014000,0.000000,../gpw/ab_gate_plane_A0.014.gpw
0.015000,0.000000,../gpw/ab_gate_plane_A0.015.gpw
0.016000,0.000000,../gpw/ab_gate_plane_A0.016.gpw
0.017000,0.000000,../gpw/ab_gate_plane_A0.017.gpw
0.018000,0.000000,../gpw/ab_gate_plane_A0.018.gpw
0.019000,0.000000,../gpw/ab_gate_plane_A0.019.gpw
0.020000,0.000000,../gpw/ab_gate_plane_A0.020.gpw
0.030000,0.000000,../gpw/ab_gate_plane_A0.030.gpw
0.040000,0.000000,../gpw/ab_gate_plane_A0.040.gpw
0.050000,0.000000,../gpw/ab_gate_plane_A0.050.gpw
0.060000,0.000000,../gpw/ab_gate_plane_A0.060.gpw
0.070000,0.000000,../gpw/ab_gate_plane_A0.070.gpw
0.080000,0.000000,../gpw/ab_gate_plane_A0.080.gpw
0.090000,0.000000,../gpw/ab_gate_plane_A0.090.gpw
0.100000,0.000000,../gpw/ab_gate_plane_A0.100.gpw
0.110000,0.000000,../gpw/ab_gate_plane_A0.110.gpw
0.120000,0.000000,../gpw/ab_gate_plane_A0.120.gpw
0.130000,0.000000,../gpw/ab_gate_plane_A0.130.gpw
0.140000,0.000000,../gpw/ab_gate_plane_A0.140.gpw
0.150000,0.000000,../gpw/ab_gate_plane_A0.150.gpw
0.160000,0.000000,../gpw/ab_gate_plane_A0.160.gpw
0.170000,0.000000,../gpw/ab_gate_plane_A0.170.gpw
0.180000,0.000000,../gpw/ab_gate_plane_A0.180.gpw
0.190000,0.000000,../gpw/ab_gate_plane_A0.190.gpw
0.200000,0.000000,../gpw/ab_gate_plane_A0.200.gpw
0.200000,0.000000,../gpw/ab_gate_plane_A0.200.gpw
0.300000,0.000000,../gpw/ab_gate_plane_A0.300.gpw
0.400000,0.000000,../gpw/ab_gate_plane_A0.400.gpw
0.500000,0.000000,../gpw/ab_gate_plane_A0.500.gpw
