Ez,bandgap_eV,P_e_per_cell,Delta_eV,Delta_ext_eV,Delta_minus_ext_eV
0.0,3.585425460572722e-05,0.0,1.792712732637975e-05,0.0,1.792712732637975e-05
0.001,0.14165782251809578,0.00017477271901390127,0.07232536034107837,0.00335,0.06897536034107836
0.002,0.2140456630806835,-0.0004243561312328942,0.11240685570917029,0.0067,0.1057068557091703
0.003,0.25874288333536755,-0.0050868657562088025,0.13923214688461338,0.01005,0.12918214688461338
0.004,0.25728519558104046,-0.010380233324077616,0.13832483083274602,0.0134,0.12492483083274603
0.005,0.2814378123747401,-0.018344045717932595,0.1536876965429044,0.01675,0.13693769654290439
0.006,0.27042231729060795,-0.026131030683058082,0.14659168303613798,0.0201,0.12649168303613798
0.007,0.26727450723825186,-0.03473854981101539,0.14459206837783117,0.023450000000000002,0.12114206837783117
0.008,0.2802571661813049,-0.04620358835838538,0.15291958565500055,0.0268,0.12611958565500056
0.009,0.27838984555921353,-0.056103311426096356,0.1517085072071284,0.03015,0.1215585072071284
0.01,0.26719615184699874,-0.07078980833840598,0.14454244834083677,0.0335,0.11104244834083676
0.011,0.2737932391373603,-0.08255770456605102,0.14874665882856472,0.03685,0.11189665882856473
0.012,0.2816303249828347,-0.09555805138124056,0.15381311893643201,0.0402,0.11361311893643201
0.013,0.26436538733355297,-0.11095292484148324,0.14275477416003338,0.04355,0.09920477416003337
0.014,0.26237224380362933,-0.12715489673673094,0.14150179850480896,0.046900000000000004,0.09460179850480896
0.015,0.2738676307846888,-0.14491975287566505,0.1487943776423914,0.050249999999999996,0.0985443776423914
0.016,0.2708878499911931,-0.1649932723539037,0.14688844448479618,0.0536,0.09328844448479617
0.017,0.25650952060749566,-0.18488061065438824,0.137843005645925,0.05695000000000001,0.080893005645925
0.018,0.25174481510806723,-0.20815776627514407,0.13489804582763837,0.0603,0.07459804582763838
0.019,0.25461036282553207,-0.23261233906680787,0.13666616058064596,0.06365,0.07301616058064596
0.02,0.26431957779404003,-0.25440360590127575,0.14272592353120145,0.067,0.07572592353120144
