Ez,layer_polarisation_electrons
0.0,0.0
0.001,0.00017477271900979453
0.002,-0.0004243561312293905
0.003,-0.005086865756213296
0.004,-0.010380233324085495
0.005,-0.018344045717934833
0.006,-0.026131030683057804
0.007,-0.034738549811021126
0.008,-0.046203588358384035
0.009,-0.05610331142609573
0.01,-0.07078980833840895
0.011,-0.08255770456605731
0.012,-0.09555805138124891
0.013,-0.11095292484148456
0.014,-0.12715489673673042
0.015,-0.14491975287566183
0.016,-0.16499327235391428
0.017,-0.18488061065439065
0.018,-0.20815776627514812
0.019,-0.23261233906681478
0.02,-0.25440360590127703
0.03,-0.5653020664384023
0.04,-0.9040212334211891
0.05,-1.0519631862447933
0.06,-1.110317929072621
0.07,-1.0107685132403246
0.08,-0.6712884876002501
0.09,-0.5189918524908654
0.1,-0.6190073725494029
0.11,-0.8623566541540011
0.12,-1.032551661483952
0.13,-1.4209278334975814
0.14,-1.8408417099113747
0.15,-2.1604408440382894
0.16,-2.5605498903700554
0.17,-2.9884818414747576
0.18,-3.443539765571831
0.19,-3.7626782905299017
0.2,-4.2232814126124065
0.2,-4.2232814126124065
0.3,-8.222421169772694
0.4,-11.895686296090563
0.5,-15.284417328390415
