Ez,gap,gpw_path
0.000000,0.329549,../gpw/ab_gate_plane_A0.000.gpw
0.002000,0.333285,../gpw/ab_gate_plane_A0.002.gpw
0.002500,0.407929,../gpw/ab_gate_plane_A0.003.gpw
0.005000,0.679944,../gpw/ab_gate_plane_A0.005.gpw
0.007500,0.629639,../gpw/ab_gate_plane_A0.007.gpw
0.010000,0.509320,../gpw/ab_gate_plane_A0.010.gpw
0.012500,0.411523,../gpw/ab_gate_plane_A0.013.gpw
0.015000,0.306796,../gpw/ab_gate_plane_A0.015.gpw
0.020000,0.152364,../gpw/ab_gate_plane_A0.020.gpw
0.050000,5.956053,../gpw/ab_gate_plane_A0.050.gpw
0.000202,0.349969,../gpw/ab_gate_plane_A0.000.gpw
0.000404,0.386631,../gpw/ab_gate_plane_A0.000.gpw
0.000606,0.404833,../gpw/ab_gate_plane_A0.001.gpw
0.000808,0.431047,../gpw/ab_gate_plane_A0.001.gpw
0.001010,0.449032,../gpw/ab_gate_plane_A0.001.gpw
0.001212,0.209671,../gpw/ab_gate_plane_A0.001.gpw
0.001414,0.242133,../gpw/ab_gate_plane_A0.001.gpw
0.001616,0.275646,../gpw/ab_gate_plane_A0.002.gpw
0.001818,0.304911,../gpw/ab_gate_plane_A0.002.gpw
0.002020,0.343979,../gpw/ab_gate_plane_A0.002.gpw
0.002222,0.363726,../gpw/ab_gate_plane_A0.002.gpw
0.002424,0.399021,../gpw/ab_gate_plane_A0.002.gpw
0.002626,0.423396,../gpw/ab_gate_plane_A0.003.gpw
0.002828,0.452878,../gpw/ab_gate_plane_A0.003.gpw
0.003030,0.481326,../gpw/ab_gate_plane_A0.003.gpw
0.003232,0.501685,../gpw/ab_gate_plane_A0.003.gpw
0.003434,0.526036,../gpw/ab_gate_plane_A0.003.gpw
0.003636,0.549499,../gpw/ab_gate_plane_A0.004.gpw
0.003838,0.573262,../gpw/ab_gate_plane_A0.004.gpw
0.004040,0.592034,../gpw/ab_gate_plane_A0.004.gpw
0.004242,0.608746,../gpw/ab_gate_plane_A0.004.gpw
0.004444,0.634824,../gpw/ab_gate_plane_A0.004.gpw
0.004646,0.646745,../gpw/ab_gate_plane_A0.005.gpw
0.004848,0.665477,../gpw/ab_gate_plane_A0.005.gpw
0.005051,0.685115,../gpw/ab_gate_plane_A0.005.gpw
0.005253,0.704507,../gpw/ab_gate_plane_A0.005.gpw
0.005455,0.716461,../gpw/ab_gate_plane_A0.005.gpw
0.005657,0.732006,../gpw/ab_gate_plane_A0.006.gpw
0.005859,0.717990,../gpw/ab_gate_plane_A0.006.gpw
0.006061,0.706030,../gpw/ab_gate_plane_A0.006.gpw
0.006263,0.695781,../gpw/ab_gate_plane_A0.006.gpw
0.006465,0.684965,../gpw/ab_gate_plane_A0.006.gpw
0.006667,0.672456,../gpw/ab_gate_plane_A0.007.gpw
0.006869,0.662724,../gpw/ab_gate_plane_A0.007.gpw
0.007071,0.651601,../gpw/ab_gate_plane_A0.007.gpw
0.007273,0.641437,../gpw/ab_gate_plane_A0.007.gpw
0.007475,0.628859,../gpw/ab_gate_plane_A0.007.gpw
0.007677,0.619813,../gpw/ab_gate_plane_A0.008.gpw
0.007879,0.608043,../gpw/ab_gate_plane_A0.008.gpw
0.008081,0.597217,../gpw/ab_gate_plane_A0.008.gpw
0.008283,0.587875,../gpw/ab_gate_plane_A0.008.gpw
0.008485,0.576989,../gpw/ab_gate_plane_A0.008.gpw
0.008687,0.569395,../gpw/ab_gate_plane_A0.009.gpw
0.008889,0.557264,../gpw/ab_gate_plane_A0.009.gpw
0.009091,0.547968,../gpw/ab_gate_plane_A0.009.gpw
0.009293,0.539772,../gpw/ab_gate_plane_A0.009.gpw
0.009495,0.532082,../gpw/ab_gate_plane_A0.009.gpw
0.009697,0.520769,../gpw/ab_gate_plane_A0.010.gpw
0.009899,0.511093,../gpw/ab_gate_plane_A0.010.gpw
0.010101,0.503217,../gpw/ab_gate_plane_A0.010.gpw
0.010303,0.494796,../gpw/ab_gate_plane_A0.010.gpw
0.010505,0.489595,../gpw/ab_gate_plane_A0.011.gpw
0.010707,0.481652,../gpw/ab_gate_plane_A0.011.gpw
0.010909,0.471734,../gpw/ab_gate_plane_A0.011.gpw
0.011111,0.466984,../gpw/ab_gate_plane_A0.011.gpw
0.011313,0.459478,../gpw/ab_gate_plane_A0.011.gpw
0.011000,0.468496,../gpw/ab_gate_plane_A0.011.gpw
0.012000,0.428650,../gpw/ab_gate_plane_A0.012.gpw
0.013000,0.391832,../gpw/ab_gate_plane_A0.013.gpw
0.014000,0.344874,../gpw/ab_gate_plane_A0.014.gpw
0.016000,0.277966,../gpw/ab_gate_plane_A0.016.gpw
0.017000,0.260084,../gpw/ab_gate_plane_A0.017.gpw
0.018000,0.251745,../gpw/ab_gate_plane_A0.018.gpw
0.019000,0.251352,../gpw/ab_gate_plane_A0.019.gpw
