Ez,Delta_ext_eV,Delta_sc_eV,P_phys_e_per_cell,Eg_sc_eV,Delta_minus_Delta_ext_eV,U_eff_eV_per_e,eps_used
0.0,0.0,0.0,0.0,0.0006386165701178362,0.0,0.267023,5.282656
0.001,0.00335,0.9262965478716849,3.464064984856938,0.2550923880445768,0.922946547871685,0.2664346167626374,5.294322
0.002,0.0067,0.9246891593614572,3.461147041168755,0.2548277059887823,0.9179891593614572,0.26522699058594007,5.318428
0.003,0.01005,0.9148054189855962,3.44278199686386,0.25340105780603206,0.9047554189855962,0.26279786248273906,5.367588
0.004,0.0134,0.9018828555744899,3.417660162555581,0.25206266952216383,0.8884828555744899,0.2599682627049595,5.426011
0.005,0.01675,0.8836607085913359,3.3800670268854445,0.25119408155002715,0.8669107085913359,0.25647750972033656,5.499861
0.006,0.0201,0.8570008882514684,3.3204655406358365,0.25057700610997835,0.8369008882514684,0.25204335922956345,5.596619
0.007,0.023450000000000002,0.83315829454196,3.2625914117361443,0.24993645578395585,0.80970829454196,0.2481796612179147,5.683748
0.008,0.0268,0.7949174248095741,3.161199069177641,0.24884698602797115,0.768117424809574,0.24298308117679973,5.805304
0.009,0.03015,0.7549288665360134,3.044976794380424,0.2475234900854592,0.7247788665360134,0.23802463773611526,5.926238
0.01,0.0335,0.7119424967614267,2.9102675355450804,0.2458910378237364,0.6784424967614268,0.23312056956231017,6.050906
0.011,0.03685,0.6687225197685143,2.7667362269215525,0.24395262168916065,0.6318725197685142,0.2283821790595501,6.176448
0.012,0.0402,0.6227269051418945,2.6073397432387937,0.24149780440579682,0.5825269051418945,0.22341838943638676,6.313673
0.013,0.04355,0.5874308341297378,2.481661325959747,0.2392822930955008,0.5438808341297379,0.21916026742017947,6.436343
0.014,0.046900000000000004,0.5553854091319306,2.3657752138627544,0.23695695613101336,0.5084854091319305,0.21493424289467422,6.562894
0.015,0.050249999999999996,0.5178452428839914,2.228567595733625,0.23378252791156243,0.46759524288399135,0.2098190262595324,6.722892
0.016,0.0536,0.4927996523029159,2.1364897393851034,0.2313850430882436,0.4391996523029159,0.20557098032737098,6.861818
0.017,0.05695000000000001,0.4666552302559184,2.0401501319092556,0.22846899338229398,0.4097052302559184,0.20082140757975575,7.024105
0.018,0.0603,0.4485861092205213,1.9735347310948228,0.22623940929486944,0.38828610922052126,0.19674686994354335,7.169571
0.019,0.06365,0.43134532176612955,1.9100111539923597,0.22392952169437516,0.36769532176612957,0.1925098163581203,7.32737
0.02,0.067,0.3349012929092799,1.5574559185904804,0.20639327777251146,0.2679012929092799,0.17201238422841092,8.200518
