      Step     Time          Energy          fmax
BFGS:    0 13:28:41     -109.632424        1.686658
BFGS:    1 13:31:53     -109.655892        0.954621
BFGS:    2 13:34:38     -109.677079        0.301564
BFGS:    3 13:37:12     -109.682766        0.249393
BFGS:    4 13:40:05     -109.703824        0.480036
BFGS:    5 13:43:01     -109.718177        0.411754
BFGS:    6 13:45:43     -109.725421        0.177595
BFGS:    7 13:47:55     -109.727121        0.095130
BFGS:    8 13:49:38     -109.727574        0.066222
BFGS:    9 13:50:51     -109.727769        0.040457
BFGS:   10 13:52:06     -109.727808        0.011252
