      Step     Time          Energy          fmax
BFGS:    0 00:03:01      -61.437333        7.786595
BFGS:    1 00:04:34      -63.399769        1.798560
BFGS:    2 00:05:36      -63.555241        1.505689
BFGS:    3 00:07:20      -64.151686        2.266344
BFGS:    4 00:08:41      -64.379373        1.585301
BFGS:    5 00:09:52      -64.464026        1.709202
BFGS:    6 00:11:23      -64.682490        1.571442
BFGS:    7 00:13:09      -65.516654        4.940394
BFGS:    8 00:14:32      -68.626117       10.001655
BFGS:    9 00:15:53      -69.679049       15.000415
BFGS:   10 00:16:43      -70.623863       10.299125
BFGS:   11 00:17:50      -72.980390        3.688370
BFGS:   12 00:18:58      -74.302069        3.988318
BFGS:   13 00:19:49      -75.031593        3.649004
BFGS:   14 00:20:42      -75.684923        1.777162
BFGS:   15 00:21:34      -76.039543        1.222951
BFGS:   16 00:22:25      -76.210997        1.083668
BFGS:   17 00:23:19      -76.358132        0.994923
BFGS:   18 00:24:14      -76.479482        1.046291
BFGS:   19 00:24:54      -76.582352        1.054299
BFGS:   20 00:25:48      -76.665443        0.983638
BFGS:   21 00:26:39      -76.740593        0.858914
BFGS:   22 00:27:33      -76.818745        0.797817
BFGS:   23 00:28:22      -76.905009        0.787027
BFGS:   24 00:29:06      -76.981778        0.783072
BFGS:   25 00:29:54      -77.044084        0.705678
BFGS:   26 00:30:51      -77.104425        0.621763
BFGS:   27 00:31:37      -77.170333        0.589427
BFGS:   28 00:32:25      -77.229526        0.559725
BFGS:   29 00:33:12      -77.275221        0.470226
BFGS:   30 00:34:01      -77.310691        0.313632
BFGS:   31 00:34:58      -77.347641        0.220614
BFGS:   32 00:35:54      -77.388527        0.198599
BFGS:   33 00:36:51      -77.415331        0.150846
BFGS:   34 00:37:47      -77.422657        0.037428
BFGS:   35 00:38:26      -77.423068        0.028532
BFGS:   36 00:39:11      -77.423998        0.027103
BFGS:   37 00:40:09      -77.429686        0.051305
BFGS:   38 00:41:06      -77.449493        0.100191
BFGS:   39 00:42:05      -77.458486        0.114585
BFGS:   40 00:42:43      -77.459220        0.054096
BFGS:   41 00:43:17      -77.459411        0.047728
BFGS:   42 00:43:51      -77.459835        0.063784
BFGS:   43 00:44:43      -77.463810        0.375486
BFGS:   44 00:45:16      -77.466441        0.188820
BFGS:   45 00:45:57      -77.467700        0.058434
BFGS:   46 00:46:41      -77.468326        0.036238
BFGS:   47 00:47:19      -77.469338        0.045330
BFGS:   48 00:47:57      -77.470640        0.076487
BFGS:   49 00:48:34      -77.470855        0.047251
BFGS:   50 00:48:58      -77.470878        0.023782
BFGS:   51 00:49:34      -77.470846        0.053924
BFGS:   52 00:50:07      -77.470888        0.023288
BFGS:   53 00:50:30      -77.470898        0.009396
      Step     Time          Energy          fmax
BFGS:    0 01:43:29      -75.124286        1.709973
BFGS:    1 01:45:24      -75.148268        0.969362
BFGS:    2 01:46:51      -75.170593        0.303586
BFGS:    3 01:48:10      -75.176400        0.258164
BFGS:    4 01:50:10      -75.191201        0.349755
BFGS:    5 01:51:48      -75.197478        0.184694
BFGS:    6 01:53:37      -75.199141        0.088296
BFGS:    7 01:54:50      -75.199345        0.019004
