      Step     Time          Energy          fmax
BFGS:    0 00:44:07     -128.281956        1.682756
BFGS:    1 01:21:16     -128.340830        1.011834
BFGS:    2 01:51:21     -128.401911        0.762566
BFGS:    3 02:36:37     -128.610466        0.839321
BFGS:    4 03:11:05     -128.676734        0.913132
BFGS:    5 03:48:53     -128.778095        0.617998
BFGS:    6 04:27:10     -128.863342        0.685756
BFGS:    7 05:08:10     -128.941017        0.676866
BFGS:    8 05:37:54     -128.973841        0.323022
BFGS:    9 06:07:36     -128.978817        0.075087
BFGS:   10 06:29:43     -128.979232        0.037329
